Coordonnées des points;;;;;;;;;
Groupe : Points hors groupes typés;;;;;;;;;
Point;Nom point;X;Y;Z;Point;Nom point;X;Y;Z
-;-;mm;mm;mm;-;-;mm;mm;mm
42;-;16250;44720;11679;43;-;16250;0;11679
44;-;32740;44720;11104;45;-;32740;0;11104
46;-;32740;3160;11104;47;-;32740;7960;11104
48;-;32740;12760;11104;49;-;32740;17560;11104
50;-;32740;22360;11104;51;-;32740;27160;11104
52;-;32740;31960;11104;53;-;32740;36760;11104
54;-;32740;41560;11104;55;-;32740;41560;9392
56;-;32740;36760;9392;57;-;32740;31960;9392
58;-;32740;27160;9392;59;-;32740;22360;9392
60;-;32740;17560;9392;61;-;32740;12760;9392
62;-;32740;7960;9392;63;-;32740;3160;9392
73;-;16250;3160;11679;74;-;16250;31960;11679
75;-;16250;22360;11679;76;-;16250;7960;11679
77;-;16250;12760;11679;78;-;16250;27160;11679
79;-;16250;17560;11679;80;-;16250;36760;11679
81;-;16250;41560;11679;97;-;0;0;11112.37
98;-;0;44720;11112.37;107;-;29250;0;11225.69
108;-;26000;0;11339.02;109;-;22750;0;11452.35
110;-;19500;0;11565.67;111;-;13000;0;11565.67
112;-;9750;0;11452.35;113;-;6500;0;11339.02
114;-;3250;0;11225.69;115;-;29250;44720;11225.69
116;-;26000;44720;11339.02;117;-;22750;44720;11452.35
118;-;19500;44720;11565.67;119;-;13000;44720;11565.67
120;-;9750;44720;11452.35;121;-;6500;44720;11339.02
122;-;3250;44720;11225.69;132;-;3250;3160;11225.69
133;-;3250;7960;11225.69;134;-;3250;12760;11225.69
135;-;3250;17560;11225.69;136;-;3250;22360;11225.69
137;-;3250;27160;11225.69;138;-;3250;31960;11225.69
139;-;3250;36760;11225.69;140;-;3250;41560;11225.69
141;-;13000;3160;11565.67;142;-;9750;3160;11452.35
143;-;6500;3160;11339.02;144;-;13000;7960;11565.67
145;-;9750;7960;11452.35;146;-;6500;7960;11339.02
147;-;13000;12760;11565.67;148;-;9750;12760;11452.35
149;-;6500;12760;11339.02;150;-;13000;17560;11565.67
151;-;9750;17560;11452.35;152;-;6500;17560;11339.02
153;-;13000;22360;11565.67;154;-;9750;22360;11452.35
155;-;6500;22360;11339.02;156;-;13000;27160;11565.67
157;-;9750;27160;11452.35;158;-;6500;27160;11339.02
159;-;13000;31960;11565.67;160;-;9750;31960;11452.35
161;-;6500;31960;11339.02;162;-;13000;36760;11565.67
163;-;9750;36760;11452.35;164;-;6500;36760;11339.02
165;-;13000;41560;11565.67;166;-;9750;41560;11452.35
167;-;6500;41560;11339.02;310;-;32740;0;9392
311;-;32740;44720;9392;312;-;0;44720;9392
313;-;29250;44720;9392;314;-;26000;44720;9392
315;-;22750;44720;9392;316;-;19500;44720;9392
317;-;16250;44720;9392;318;-;13000;44720;9392
319;-;9750;44720;9392;320;-;6500;44720;9392
321;-;3250;44720;9392;322;-;0;0;9392
323;-;3250;0;9392;324;-;6500;0;9392
325;-;9750;0;9392;326;-;13000;0;9392
327;-;16250;0;9392;328;-;19500;0;9392
329;-;22750;0;9392;330;-;26000;0;9392
331;-;29250;0;9392;599;-;9750;0;5790
735;-;9750;44720;5790;887;-;16250;0;5790
888;-;32740;7960;5790;889;-;22750;44720;5790
890;-;29250;44720;5790;891;-;22750;0;5790
892;-;29250;0;5790;893;-;32740;44720;5790
