Tableau des réactions d'appui;;;;;
Groupe : Points hors groupes typés (Repère global);;;;;
Point;Nom point;Cas;RFx;RFy;RFz
-;-;-;daN;daN;daN
88;B_1;1-G;0;-1001;9446
88;B_1;2-Q;0;-7;41
88;B_1;3-S;0;-417;4667
88;B_1;13-W;0;858;927
88;B_1;15-W3;0;-103;-1183
88;B_1;17-W5;0;-124;1695
88;B_1;19-W7;0;-1131;-1705
89;C_1;1-G;0;312;9704
89;C_1;2-Q;0;-2;41
89;C_1;3-S;0;364;4726
89;C_1;13-W;0;4281;1132
89;C_1;15-W3;0;-451;-1080
89;C_1;17-W5;0;182;1769
89;C_1;19-W7;0;-3617;-1499
90;D_1;1-G;0;2;9912
90;D_1;2-Q;0;0;39
90;D_1;3-S;0;1;4696
90;D_1;13-W;0;7;1145
90;D_1;15-W3;0;-1;-979
90;D_1;17-W5;0;3;1896
90;D_1;19-W7;0;-9;-323
91;E_1;1-G;0;157;10072
91;E_1;2-Q;0;11;0
91;E_1;3-S;0;179;4688
91;E_1;13-W;0;2484;1145
91;E_1;15-W3;0;-250;-969
91;E_1;17-W5;0;370;1713
91;E_1;19-W7;0;-2766;2132
92;F_1;1-G;0;0;10106
92;F_1;2-Q;0;0;1
92;F_1;3-S;0;0;4705
92;F_1;13-W;0;0;1169
92;F_1;15-W3;0;0;-974
92;F_1;17-W5;0;8;1920
92;F_1;19-W7;0;-8;1924
93;G_1;1-G;0;-153;10064
93;G_1;2-Q;0;-11;-2
93;G_1;3-S;0;-174;4691
93;G_1;13-W;0;-2377;1121
93;G_1;15-W3;0;255;-996
93;G_1;17-W5;0;2704;2148
93;G_1;19-W7;0;-403;1726
94;H_1;1-G;0;-2;9912
94;H_1;2-Q;0;0;39
94;H_1;3-S;0;-1;4696
94;H_1;13-W;0;-7;1146
94;H_1;15-W3;0;1;-979
94;H_1;17-W5;0;9;-324
94;H_1;19-W7;0;-3;1896
95;I_1;1-G;0;-311;9709
95;I_1;2-Q;0;2;41
95;I_1;3-S;0;-363;4725
95;I_1;13-W;0;-4257;1150
95;I_1;15-W3;0;470;-1061
95;I_1;17-W5;0;3559;-1533
95;I_1;19-W7;0;-164;1778
96;J_1;1-G;0;996;9441
96;J_1;2-Q;0;7;40
96;J_1;3-S;0;415;4668
96;J_1;13-W;0;-876;913
96;J_1;15-W3;0;102;-1201
96;J_1;17-W5;0;1137;-1676
96;J_1;19-W7;0;133;1686
306;K_1;1-G;7;-3;515
306;K_1;2-Q;0;0;0
306;K_1;3-S;3;-1;205
306;K_1;13-W;-3;-5;51
306;K_1;15-W3;0;-27;-148
306;K_1;17-W5;4;30;-148
306;K_1;19-W7;-1;-1;50
309;A_1;1-G;7;3;515
309;A_1;2-Q;0;0;0
309;A_1;3-S;3;1;205
309;A_1;13-W;-3;5;51
309;A_1;15-W3;0;27;-148
309;A_1;17-W5;-1;1;50
309;A_1;19-W7;4;-30;-148
305;K_2;1-G;6;-3;672
305;K_2;2-Q;0;0;0
305;K_2;3-S;2;-1;339
305;K_2;13-W;-2;-14;82
305;K_2;15-W3;0;-48;-155
305;K_2;17-W5;3;60;-246
305;K_2;19-W7;-1;-10;83
308;A_2;1-G;6;3;671
308;A_2;2-Q;0;0;0
308;A_2;3-S;2;2;339
308;A_2;13-W;-2;13;82
308;A_2;15-W3;0;47;-155
308;A_2;17-W5;-1;10;83
308;A_2;19-W7;3;-59;-246
304;K_3;1-G;-63;-12;1316
304;K_3;2-Q;0;-1;0
304;K_3;3-S;114;1;361
304;K_3;13-W;3597;-244;90
304;K_3;15-W3;-384;-253;-70
304;K_3;17-W5;-1608;592;-210
304;K_3;19-W7;-711;-131;88
307;A_3;1-G;-102;10;1315
307;A_3;2-Q;0;1;0
307;A_3;3-S;85;0;361
307;A_3;13-W;3255;242;89
307;A_3;15-W3;-342;257;-70
307;A_3;17-W5;-632;132;88
307;A_3;19-W7;-1477;-601;-210
4;A_4;1-G;314;4;1407
4;A_4;2-Q;1;1;-3
