ELU-STR;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Enveloppe : Réactions aux appuis;;;;;;;;;;;;;;;;;;;;
Groupe : Points hors groupes typés (Repère global);;;;;;;;;;;;;;;;;;;;
Point;Nom point;RFxmin;Cas;RFxmax;Cas;RFymin;Cas;RFymax;Cas;RFzmin;Cas;RFzmax;Cas;;;;;;;
-;-;daN;-;daN;-;daN;-;daN;-;daN;-;daN;-;;;;;;;
989;A_11;0;257: G+1.5W2;1;153: 1.35G+1.5W8+1.5Q+0.75S;-43;297: G+1.5W7;65;121: 1.35G+1.5W4+1.5Q+0.75S;267;274: G+1.5W4+1.5Q;557;58: 1.35G+1.5S2+0.9W;;;;;;;
1309;K_11;0;257: G+1.5W2;1;137: 1.35G+1.5W6+1.5Q+0.75S;-65;121: 1.35G+1.5W4+1.5Q+0.75S;43;281: G+1.5W5;267;274: G+1.5W4+1.5Q;557;58: 1.35G+1.5S2+0.9W;;;;;;;
990;A_12;0;257: G+1.5W2;0;153: 1.35G+1.5W8+1.5Q+0.75S;-46;297: G+1.5W7;103;121: 1.35G+1.5W4+1.5Q+0.75S;463;273: G+1.5W4;637;48: 1.35G+1.5S+1.5Q+0.9W;;;;;;;
1306;K_12;0;257: G+1.5W2;0;137: 1.35G+1.5W6+1.5Q+0.75S;-103;121: 1.35G+1.5W4+1.5Q+0.75S;46;281: G+1.5W5;463;273: G+1.5W4;637;48: 1.35G+1.5S+1.5Q+0.9W;;;;;;;
991;A_13;0;257: G+1.5W2;0;153: 1.35G+1.5W8+1.5Q+0.75S;-42;297: G+1.5W7;112;121: 1.35G+1.5W4+1.5Q+0.75S;503;219: G+1.5S2+0.9W5;706;149: 1.35G+1.5W8+1.5Q;;;;;;;
1313;K_13;0;257: G+1.5W2;0;137: 1.35G+1.5W6+1.5Q+0.75S;-112;121: 1.35G+1.5W4+1.5Q+0.75S;42;281: G+1.5W5;503;221: G+1.5S2+0.9W7;705;133: 1.35G+1.5W6+1.5Q;;;;;;;
992;A_14;0;257: G+1.5W2;0;153: 1.35G+1.5W8+1.5Q+0.75S;-43;297: G+1.5W7;112;122: 1.35G+1.5W4+1.5Q+0.75S2;493;205: G+1.5S+1.5Q+0.9W;693;148: 1.35G+1.5W8;;;;;;;
1332;K_14;0;257: G+1.5W2;0;137: 1.35G+1.5W6+1.5Q+0.75S;-112;122: 1.35G+1.5W4+1.5Q+0.75S2;43;281: G+1.5W5;494;205: G+1.5S+1.5Q+0.9W;694;132: 1.35G+1.5W6;;;;;;;
993;A_15;0;257: G+1.5W2;0;153: 1.35G+1.5W8+1.5Q+0.75S;-50;297: G+1.5W7;104;122: 1.35G+1.5W4+1.5Q+0.75S2;471;273: G+1.5W4;657;48: 1.35G+1.5S+1.5Q+0.9W;;;;;;;
