ELU-STR;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Enveloppe : Réactions aux appuis;;;;;;;;;;;;;;;;;;;;
Groupe : Points hors groupes typés (Repère global);;;;;;;;;;;;;;;;;;;;
Point;Nom point;RFxmin;Cas;RFxmax;Cas;RFymin;Cas;RFymax;Cas;RFzmin;Cas;RFzmax;Cas;;;;;;;
-;-;daN;-;daN;-;daN;-;daN;-;daN;-;daN;-;;;;;;;
88;B_1;0;124: 1.35G+1.5W5;0;116: 1.35G+1.5W4;-3382;153: 1.35G+1.5W8+1.5Q+0.75S;609;257: G+1.5W2;4400;305: G+1.5W8;21248;52: 1.35G+1.5S+1.5Q+0.9W5;;;;;;;
89;C_1;0;289: G+1.5W6;0;133: 1.35G+1.5W6+1.5Q;-7197;306: G+1.5W8+1.5Q;6879;94: 1.35G+1.5W+0.75S;4993;305: G+1.5W8;21913;52: 1.35G+1.5S+1.5Q+0.9W5;;;;;;;
90;D_1;0;137: 1.35G+1.5W6+1.5Q+0.75S;0;99: 1.35G+1.5W+1.5Q+0.75S3;-19;306: G+1.5W8+1.5Q;15;94: 1.35G+1.5W+0.75S;5153;273: G+1.5W4;22188;52: 1.35G+1.5S+1.5Q+0.9W5;;;;;;;
91;E_1;0;151: 1.35G+1.5W8+0.75S2;0;253: G+1.5W+0.75S3;-4953;305: G+1.5W8;3851;97: 1.35G+1.5W+1.5Q+0.75S;5362;274: G+1.5W4+1.5Q;22505;46: 1.35G+1.5S+0.9W7;;;;;;;
92;F_1;0;264: G+1.5W2+1.5Q+0.75S3;0;154: 1.35G+1.5W8+1.5Q+0.75S2;-13;298: G+1.5W7+1.5Q;13;126: 1.35G+1.5W5+0.75S;5353;273: G+1.5W4;22440;54: 1.35G+1.5S+1.5Q+0.9W7;;;;;;;
93;G_1;0;134: 1.35G+1.5W6+0.75S;0;99: 1.35G+1.5W+1.5Q+0.75S3;-3718;97: 1.35G+1.5W+1.5Q+0.75S;4858;289: G+1.5W6;5266;274: G+1.5W4+1.5Q;22511;44: 1.35G+1.5S+0.9W5;;;;;;;
94;H_1;0;97: 1.35G+1.5W+1.5Q+0.75S;0;280: G+1.5W4+1.5Q+0.75S3;-15;97: 1.35G+1.5W+1.5Q+0.75S;18;289: G+1.5W6;5153;273: G+1.5W4;22188;54: 1.35G+1.5S+1.5Q+0.9W7;;;;;;;
95;I_1;0;135: 1.35G+1.5W6+0.75S2;0;256: G+1.5W+1.5Q+0.75S3;-6842;94: 1.35G+1.5W+0.75S;7148;290: G+1.5W6+1.5Q;4975;289: G+1.5W6;21929;54: 1.35G+1.5S+1.5Q+0.9W7;;;;;;;
96;J_1;0;254: G+1.5W+1.5Q+0.75S;0;150: 1.35G+1.5W8+0.75S;-625;257: G+1.5W2;3387;137: 1.35G+1.5W6+1.5Q+0.75S;4411;289: G+1.5W6;21232;54: 1.35G+1.5S+1.5Q+0.9W7;;;;;;;
306;K_1;0;257: G+1.5W2;17;137: 1.35G+1.5W6+1.5Q+0.75S;-68;121: 1.35G+1.5W4+1.5Q+0.75S;42;281: G+1.5W5;218;274: G+1.5W4+1.5Q;1049;58: 1.35G+1.5S2+0.9W;;;;;;;
309;A_1;0;257: G+1.5W2;17;153: 1.35G+1.5W8+1.5Q+0.75S;-42;297: G+1.5W7;68;121: 1.35G+1.5W4+1.5Q+0.75S;218;274: G+1.5W4+1.5Q;1050;58: 1.35G+1.5S2+0.9W;;;;;;;
305;K_2;1;257: G+1.5W2;13;137: 1.35G+1.5W6+1.5Q+0.75S;-116;122: 1.35G+1.5W4+1.5Q+0.75S2;87;281: G+1.5W5;180;290: G+1.5W6+1.5Q;1492;64: 1.35G+1.5S2+0.9W7;;;;;;;
308;A_2;1;257: G+1.5W2;13;153: 1.35G+1.5W8+1.5Q+0.75S;-86;297: G+1.5W7;115;122: 1.35G+1.5W4+1.5Q+0.75S2;178;306: G+1.5W8+1.5Q;1491;62: 1.35G+1.5S2+0.9W5;;;;;;;
304;K_3;-4335;132: 1.35G+1.5W6;5435;254: G+1.5W+1.5Q+0.75S;-761;122: 1.35G+1.5W4+1.5Q+0.75S2;905;285: G+1.5W5+0.75S3;867;290: G+1.5W6+1.5Q;2399;58: 1.35G+1.5S2+0.9W;;;;;;;
307;A_3;-3995;148: 1.35G+1.5W8;4856;254: G+1.5W+1.5Q+0.75S;-921;301: G+1.5W7+0.75S3;771;122: 1.35G+1.5W4+1.5Q+0.75S2;868;306: G+1.5W8+1.5Q;2398;58: 1.35G+1.5S2+0.9W;;;;;;;
4;A_4;-2313;305: G+1.5W8;3842;97: 1.35G+1.5W+1.5Q+0.75S;-647;299: G+1.5W7+0.75S;587;117: 1.35G+1.5W4+1.5Q;-10277;306: G+1.5W8+1.5Q;16544;94: 1.35G+1.5W+0.75S;;;;;;;
29;K_4;-2174;289: G+1.5W6;3662;97: 1.35G+1.5W+1.5Q+0.75S;-428;117: 1.35G+1.5W4+1.5Q;443;283: G+1.5W5+0.75S;-9331;290: G+1.5W6+1.5Q;14940;94: 1.35G+1.5W+0.75S;;;;;;;
5;A_5;-13;252: G+1.5W+0.75S2;14;155: 1.35G+1.5W8+1.5Q+0.75S3;-679;299: G+1.5W7+0.75S;584;117: 1.35G+1.5W4+1.5Q;1876;289: G+1.5W6;4268;48: 1.35G+1.5S+1.5Q+0.9W;;;;;;;
28;K_5;-9;252: G+1.5W+0.75S2;9;139: 1.35G+1.5W6+1.5Q+0.75S3;-415;117: 1.35G+1.5W4+1.5Q;441;283: G+1.5W5+0.75S;953;289: G+1.5W6;3061;48: 1.35G+1.5S+1.5Q+0.9W;;;;;;;
30;K_6;-2743;135: 1.35G+1.5W6+0.75S2;2461;256: G+1.5W+1.5Q+0.75S3;-417;121: 1.35G+1.5W4+1.5Q+0.75S;439;281: G+1.5W5;-10190;250: G+1.5W+1.5Q;12934;134: 1.35G+1.5W6+0.75S;;;;;;;
6;A_6;-2959;151: 1.35G+1.5W8+0.75S2;2895;256: G+1.5W+1.5Q+0.75S3;-761;297: G+1.5W7;668;121: 1.35G+1.5W4+1.5Q+0.75S;-9504;250: G+1.5W+1.5Q;17556;150: 1.35G+1.5W8+0.75S;;;;;;;
7;A_7;-17;254: G+1.5W+1.5Q+0.75S;14;148: 1.35G+1.5W8;-847;299: G+1.5W7+0.75S;717;101: 1.35G+1.5W2+1.5Q;5202;306: G+1.5W8+1.5Q;7964;80: 1.35G+1.5S3+0.9W5;;;;;;;
23;K_7;-12;254: G+1.5W+1.5Q+0.75S;9;132: 1.35G+1.5W6;-410;101: 1.35G+1.5W2+1.5Q;443;283: G+1.5W5+0.75S;1024;289: G+1.5W6;2133;54: 1.35G+1.5S+1.5Q+0.9W7;;;;;;;
8;A_8;-2968;305: G+1.5W8;5226;97: 1.35G+1.5W+1.5Q+0.75S;-642;299: G+1.5W7+0.75S;561;101: 1.35G+1.5W2+1.5Q;-7506;305: G+1.5W8;18335;97: 1.35G+1.5W+1.5Q+0.75S;;;;;;;
27;K_8;-2871;289: G+1.5W6;5293;97: 1.35G+1.5W+1.5Q+0.75S;-410;101: 1.35G+1.5W2+1.5Q;432;283: G+1.5W5+0.75S;-7595;289: G+1.5W6;17349;97: 1.35G+1.5W+1.5Q+0.75S;;;;;;;
9;A_9;-18;97: 1.35G+1.5W+1.5Q+0.75S;11;289: G+1.5W6;-640;142: 1.35G+1.5W7+0.75S;618;258: G+1.5W2+1.5Q;1912;257: G+1.5W2;3974;50: 1.35G+1.5S+1.5Q+0.9W3;;;;;;;
