Coordonnées des points;;;;;;;;;
Groupe : Points hors groupes typés;;;;;;;;;
Point;Nom point;X;Y;Z;Point;Nom point;X;Y;Z
-;-;mm;mm;mm;-;-;mm;mm;mm
977;-;125;0;8685;978;-;725;0;8685
979;-;1325;0;8685;980;-;1925;0;8685
981;-;2525;0;8685;982;-;3125;0;8685
983;-;3375;0;8685;984;-;3975;0;8685
985;-;4575;0;8685;986;-;5175;0;8685
987;-;5775;0;8685;988;-;6375;0;8685
1001;-;6625;0;2895;1002;-;7225;0;2895
1003;-;7825;0;2895;1004;-;8425;0;2895
1005;-;9025;0;2895;1006;-;9625;0;2895
1007;-;6625;0;5790;1008;-;7225;0;5790
1009;-;7825;0;5790;1010;-;8425;0;5790
1011;-;9025;0;5790;1012;-;9625;0;5790
1013;-;6625;0;8685;1014;-;7225;0;8685
1015;-;7825;0;8685;1016;-;8425;0;8685
1017;-;9025;0;8685;1018;-;9625;0;8685
1025;-;9875;0;2895;1026;-;10475;0;2895
1027;-;11075;0;2895;1028;-;11675;0;2895
1029;-;12275;0;2895;1030;-;12875;0;2895
1031;-;9875;0;5790;1032;-;10475;0;5790
1033;-;11075;0;5790;1034;-;11675;0;5790
1035;-;12275;0;5790;1036;-;12875;0;5790
1037;-;9875;0;8685;1038;-;10475;0;8685
1039;-;11075;0;8685;1040;-;11675;0;8685
1041;-;12275;0;8685;1042;-;12875;0;8685
1049;-;13125;0;2895;1050;-;13725;0;2895
1051;-;14325;0;2895;1052;-;14925;0;2895
1053;-;15525;0;2895;1054;-;16125;0;2895
1055;-;13125;0;5790;1056;-;13725;0;5790
1057;-;14325;0;5790;1058;-;14925;0;5790
1059;-;15525;0;5790;1060;-;16125;0;5790
1061;-;13125;0;8685;1062;-;13725;0;8685
1063;-;14325;0;8685;1064;-;14925;0;8685
1065;-;15525;0;8685;1066;-;16125;0;8685
1088;-;21425;0;8685;1089;-;22025;0;8685
1090;-;22625;0;8685;1094;-;21425;0;5790
1095;-;22025;0;5790;1096;-;22625;0;5790
1100;-;21425;0;2895;1101;-;22025;0;2895
1102;-;22625;0;2895;1109;-;22875;0;2895
1110;-;23475;0;2895;1111;-;24075;0;2895
1112;-;24675;0;2895;1113;-;25275;0;2895
1114;-;25875;0;2895;1115;-;22875;0;5790
1116;-;23475;0;5790;1117;-;24075;0;5790
1118;-;24675;0;5790;1119;-;25275;0;5790
1120;-;25875;0;5790;1121;-;22875;0;8685
1122;-;23475;0;8685;1123;-;24075;0;8685
1124;-;24675;0;8685;1125;-;25275;0;8685
1126;-;25875;0;8685;1127;-;26125;0;2895
1128;-;26725;0;2895;1129;-;27325;0;2895
1130;-;27925;0;2895;1131;-;28525;0;2895
1132;-;29125;0;2895;1133;-;26125;0;5790
1134;-;26725;0;5790;1135;-;27325;0;5790
1136;-;27925;0;5790;1137;-;28525;0;5790
1138;-;29125;0;5790;1139;-;26125;0;8685
1140;-;26725;0;8685;1141;-;27325;0;8685
1142;-;27925;0;8685;1143;-;28525;0;8685
1144;-;29125;0;8685;1163;-;125;0;12579
1164;-;725;0;12579;1165;-;1325;0;12579
1166;-;1925;0;12579;1167;-;2525;0;12579
1168;-;3125;0;12579;1169;-;125;0;11116.73
1170;-;725;0;11137.65;1171;-;1325;0;11158.57
1172;-;1925;0;11179.49;1173;-;2525;0;11200.41
1174;-;3125;0;11221.34;1175;-;3375;0;12579
1182;-;6375;0;12579;1183;-;5775;0;12579
1184;-;5175;0;12579;1185;-;4575;0;12579
1186;-;3975;0;12579;1187;-;3375;0;11230.05
1188;-;3975;0;11250.98;1189;-;4575;0;11271.9
1190;-;5175;0;11292.82;1191;-;5775;0;11313.74
1192;-;6375;0;11334.66;1193;-;6625;0;12579
1194;-;7225;0;12579;1195;-;7825;0;12579
1196;-;8425;0;12579;1197;-;9025;0;12579
1198;-;9625;0;12579;1199;-;6625;0;11343.38
1200;-;7225;0;11364.3;1201;-;7825;0;11385.22
1202;-;8425;0;11406.15;1203;-;9025;0;11427.07
1204;-;9625;0;11447.99;1205;-;9875;0;12579
1206;-;10475;0;12579;1207;-;11075;0;12579
1208;-;11675;0;12579;1209;-;12275;0;12579
1210;-;12875;0;12579;1211;-;9875;0;11456.71
1212;-;10475;0;11477.63;1213;-;11075;0;11498.55
1214;-;11675;0;11519.47;1215;-;12275;0;11540.39
1216;-;12875;0;11561.32;1217;-;13125;0;12579
1218;-;13725;0;12579;1219;-;14325;0;12579
1220;-;14925;0;12579;1221;-;15525;0;12579
1222;-;16125;0;12579;1223;-;13125;0;11570.03
1224;-;13725;0;11590.95;1225;-;14325;0;11611.88
1226;-;14925;0;11632.8;1227;-;15525;0;11653.72
1228;-;16125;0;11674.64;1250;-;21425;0;12579
1251;-;22025;0;12579;1252;-;22625;0;12579
1256;-;21425;0;11498.55;1257;-;22025;0;11477.63
1258;-;22625;0;11456.71;1259;-;22875;0;12579
1260;-;23475;0;12579;1261;-;24075;0;12579
1262;-;24675;0;12579;1263;-;25275;0;12579
1264;-;25875;0;12579;1271;-;26125;0;12579
1272;-;26725;0;12579;1273;-;27325;0;12579
1274;-;27925;0;12579;1275;-;28525;0;12579
1276;-;29125;0;12579;1283;-;22875;0;11447.99
1284;-;23475;0;11427.07;1285;-;24075;0;11406.15
1286;-;24675;0;11385.22;1287;-;25275;0;11364.3
1288;-;25875;0;11343.38;1289;-;26125;0;11334.66
1290;-;26725;0;11313.74;1291;-;27325;0;11292.82
1292;-;27925;0;11271.9;1293;-;28525;0;11250.98
1294;-;29125;0;11230.05;1301;-;3975;44720;8685
1303;-;3975;44720;11250.98;1304;-;3975;44720;12579
1305;-;725;44720;11137.65;1307;-;725;44720;8685
1308;-;725;44720;12579;1310;-;125;44720;8685
1311;-;125;44720;11116.73;1312;-;125;44720;12579
1314;-;1325;44720;8685;1315;-;1325;44720;11158.57
1316;-;1325;44720;12579;1317;-;20825;44720;2895
1318;-;20825;44720;5790;1319;-;20825;44720;8685
1320;-;20825;44720;11519.47;1321;-;20825;44720;12579
1322;-;4575;44720;11271.9;1324;-;4575;44720;8685
1325;-;4575;44720;12579;1327;-;11075;44720;11498.55
1328;-;11075;44720;2895;1329;-;11075;44720;5790
1330;-;11075;44720;8685;1331;-;11075;44720;12579
1333;-;1925;44720;11179.49;1334;-;1925;44720;8685
1335;-;1925;44720;12579;1336;-;2525;44720;12579
1338;-;2525;44720;8685;1339;-;2525;44720;11200.41
1340;-;16125;44720;11674.64;1341;-;16125;44720;8685
1343;-;16125;44720;2895;1344;-;16125;44720;5790
1345;-;16125;44720;12579;1346;-;13125;44720;11570.03
1348;-;13125;44720;5790;1349;-;13125;44720;2895
1350;-;13125;44720;8685;1351;-;13125;44720;12579
1353;-;3125;44720;8685;1354;-;3125;44720;12579
1355;-;3125;44720;11221.34;1357;-;3375;44720;8685
1358;-;3375;44720;11230.05;1359;-;3375;44720;12579
1360;-;25275;44720;2895;1362;-;25275;44720;5790
